name,weight,area,depth,flange_width,web_thickness,flange_thickness,inertia_x,plastic_x,radius_x,inertia_y,plastic_y,radius_y,moment_self,compression_self
W610X551,551,70300,711,348,38.6,69.1,5580,18500,282,483,4380,83.1,11.2610625,27.02655
W360X551,551,70300,455,419,42.2,67.6,2260,12100,180,828,6060,108,11.2610625,27.02655
W1000X554,554,71000,1030,409,29.5,52.1,12300,27500,419,591,4540,91.4,11.322375,27.1737
W840X576,576,73500,914,411,32,57.9,10100,25600,371,674,5110,95.8,11.772,28.2528
W760X582,582,74200,843,396,34.5,62,8620,23800,340,645,5080,93.2,11.894625,28.5471
W1000X584,584,74800,1060,315,36.1,64,12400,28000,409,334,3470,67.1,11.9355,28.6452
W920X588,588,74800,975,427,31,55.9,11900,28000,399,728,5330,98.6,12.01725,28.8414
W1000X591,591,75500,1040,409,31,55.9,13300,29500,422,641,4920,92.5,12.0785625,28.98855
W360X592,592,75500,465,422,45,72.4,2500,13100,182,903,6590,109,12.099,29.0376
W360X634,634,80600,475,424,47.8,77.2,2750,14200,184,982,7110,110,12.957375,31.0977
W1000X642,642,81900,1050,411,34,59.9,14500,32100,422,703,5370,92.7,13.120875,31.4901
W920X656,656,83900,988,432,34.5,62,13400,31300,399,828,6030,99.6,13.407,32.1768
W360X677,677,86500,483,427,51.3,81.5,2990,15300,186,1070,7670,111,13.8361875,33.20685
W920X725,725,92300,998,434,38.1,68.1,15000,34900,401,937,6750,101,14.8171875,35.56125
W360X744,744,94800,498,432,55.6,88.9,3420,17200,190,1200,8550,113,15.2055,36.4932
W1000X748,748,95500,1070,417,39.1,70.1,17300,38000,427,849,6460,94.5,15.28725,36.6894
W920X787,787,101000,1010,437,40.9,73.9,16500,38200,406,1040,7440,102,16.0843125,38.60235
W690X802,802,103000,826,389,50,89.9,10700,31000,323,878,7160,92.7,16.390875,39.3381
W360X818,818,105000,513,437,60.5,97,3930,19300,194,1350,9550,114,16.717875,40.1229
W1000X883,883,112000,1090,424,45.5,82,21000,45200,432,1050,7880,96.5,18.0463125,43.31115
W360X900,900,115000,531,442,66,106,4500,21600,198,1530,10700,116,18.39375,44.145
